model_id,seed,temperature_C,n_windows,MAE_pct,RMSE_pct,MaxAE_pct,source_prediction_file
lstm_h128_l1,1,25.0,11043,0.6249544294666305,0.8177216269252138,3.203178000000001,risk_modelclass_lstm_h128_l1_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,1,45.0,11577,0.23106839622527423,0.32719425019327175,1.7489949999999976,risk_modelclass_lstm_h128_l1_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,2,0.0,9658,0.560841713574239,0.7312643066687488,2.6302269999999988,risk_modelclass_lstm_h128_l1_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,2,25.0,11043,0.8436011976636785,1.0958501091720045,3.539883000000005,risk_modelclass_lstm_h128_l1_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,2,45.0,11577,0.40741211794938237,0.5319226706573926,2.579607,risk_modelclass_lstm_h128_l1_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,0,0.0,9658,0.6546572917477738,0.8122573243829913,2.5930190000000017,risk_modelclass_lstm_h128_l6_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,0,25.0,11043,0.5103794932717558,0.6926417477534699,2.931641,risk_modelclass_lstm_h128_l6_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,0,45.0,11577,0.32747722172410815,0.41061938066345727,1.4397009999999988,risk_modelclass_lstm_h128_l6_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,1,0.0,9658,0.654136591488921,0.849915631979488,2.2381469999999988,risk_modelclass_lstm_h128_l6_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,1,25.0,11043,0.6882153847052432,0.8830733464961533,2.822100999999999,risk_modelclass_lstm_h128_l6_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,1,45.0,11577,0.36604575384814714,0.49053695057045527,2.2566219999999997,risk_modelclass_lstm_h128_l6_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,2,0.0,9658,0.852807631466142,1.0359914579538891,3.648990000000002,risk_modelclass_lstm_h128_l6_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,2,25.0,11043,0.9608205144163724,1.186146638843244,3.8147209999999987,risk_modelclass_lstm_h128_l6_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,2,45.0,11577,0.6684113303014598,0.8990601499658115,3.2141190000000006,risk_modelclass_lstm_h128_l6_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,0,0.0,9658,0.6693105328121763,0.8710835230369821,3.7838140000000022,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,0,25.0,11043,0.8130573781671648,1.0072437442297124,3.1154600000000032,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,0,45.0,11577,0.6048989030318734,0.7866881823026459,3.1988020000000006,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,1,0.0,9658,0.600765698022365,0.8243993970878872,3.3979199999999987,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,1,25.0,11043,0.9073069531920672,1.1121167297392103,4.568596000000001,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,1,45.0,11577,0.5104716036537964,0.6648358002848602,2.5184649999999973,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,2,0.0,9658,0.6317096395527022,0.8596867274321287,3.8472319999999947,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,2,25.0,11043,0.8335029717558635,1.010627861841471,3.048860999999997,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,2,45.0,11577,0.5510687062451411,0.727720915482306,3.018884000000001,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l6_gelu,0,0.0,9658,0.6020997194553738,0.7566087764445314,2.636376000000001,risk_modelclass_transformer_d128_h8_l6_gelu_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l6_gelu,0,25.0,11043,0.846429843421172,1.0412271187862518,3.2481570000000017,risk_modelclass_transformer_d128_h8_l6_gelu_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l6_gelu,0,45.0,11577,0.47911192230284183,0.6285498542957492,2.850356999999998,risk_modelclass_transformer_d128_h8_l6_gelu_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l6_gelu,1,0.0,9658,0.6480370795092152,0.8859012335459743,3.491171999999998,risk_modelclass_transformer_d128_h8_l6_gelu_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l6_gelu,1,25.0,11043,0.9723655026623199,1.2015656845299019,3.979144000000001,risk_modelclass_transformer_d128_h8_l6_gelu_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l6_gelu,1,45.0,11577,0.5075894633929343,0.666715736203532,2.5580859999999985,risk_modelclass_transformer_d128_h8_l6_gelu_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l6_gelu,2,0.0,9658,0.8210185475564299,1.101606854630089,3.8187330000000017,risk_modelclass_transformer_d128_h8_l6_gelu_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l6_gelu,2,25.0,11043,0.9276716504663588,1.1309331519498023,3.387123000000003,risk_modelclass_transformer_d128_h8_l6_gelu_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l6_gelu,2,45.0,11577,0.5692706643258184,0.7672007229274214,3.322227,risk_modelclass_transformer_d128_h8_l6_gelu_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
vanilla_tcn_h128_l6_moe,0,0.0,9658,0.8940614221267341,1.1390147793159409,3.7795369999999995,risk_modelclass_vanilla_tcn_h128_l6_moe_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
vanilla_tcn_h128_l6_moe,0,25.0,11043,0.8019037526668479,0.9845892474404048,2.8905559999999997,risk_modelclass_vanilla_tcn_h128_l6_moe_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
vanilla_tcn_h128_l6_moe,0,45.0,11577,0.4311534500043189,0.5595124233304011,2.2355509999999996,risk_modelclass_vanilla_tcn_h128_l6_moe_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
vanilla_tcn_h128_l6_moe,1,0.0,9658,0.9485948812901219,1.2661747309506073,4.145509999999996,risk_modelclass_vanilla_tcn_h128_l6_moe_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
vanilla_tcn_h128_l6_moe,1,25.0,11043,0.7229278906909354,0.8936040955741669,3.0037009999999977,risk_modelclass_vanilla_tcn_h128_l6_moe_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
vanilla_tcn_h128_l6_moe,1,45.0,11577,0.46347774176384204,0.5968569722168531,2.255937999999996,risk_modelclass_vanilla_tcn_h128_l6_moe_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
vanilla_tcn_h128_l6_moe,2,0.0,9658,0.7399896479602401,0.9511162065609918,3.400737999999998,risk_modelclass_vanilla_tcn_h128_l6_moe_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
vanilla_tcn_h128_l6_moe,2,25.0,11043,0.7724579309155121,0.9576945553652576,2.9121129999999997,risk_modelclass_vanilla_tcn_h128_l6_moe_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
vanilla_tcn_h128_l6_moe,2,45.0,11577,0.5736877199533558,0.7689750585205383,3.0241130000000007,risk_modelclass_vanilla_tcn_h128_l6_moe_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
