split,temperature_C,ema_feature,reference,pearson_r,n_rows
train,0.0,absI_ema200,forbidden_cumulative_Ah,0.13785525983974223,29181
train,0.0,absI_ema200,SOC_physical,-0.1370382334417449,29181
train,0.0,absI_ema200,forbidden_trajectory_progress,0.1594770271876939,29181
train,0.0,absI_dev_ema200,forbidden_cumulative_Ah,-0.03217471726615422,29181
train,0.0,absI_dev_ema200,SOC_physical,0.032177796245435056,29181
train,0.0,absI_dev_ema200,forbidden_trajectory_progress,-0.03305923111029708,29181
train,0.0,forbidden_cumulative_Ah,SOC_physical,-0.9999965663597165,29181
train,25.0,V_corr_raw_ema50,forbidden_cumulative_Ah,-0.9774066094614893,32506
train,25.0,V_corr_raw_ema50,SOC_physical,0.9764293777611623,32506
train,25.0,V_corr_raw_ema50,forbidden_trajectory_progress,-0.9765347524278783,32506
train,25.0,V_corr_raw_dev_ema50,forbidden_cumulative_Ah,-0.12289264813364428,32506
train,25.0,V_corr_raw_dev_ema50,SOC_physical,0.12486950478328519,32506
train,25.0,V_corr_raw_dev_ema50,forbidden_trajectory_progress,-0.1199307519385903,32506
train,25.0,V_corr_raw_ema200,forbidden_cumulative_Ah,-0.9803231813157539,32506
train,25.0,V_corr_raw_ema200,SOC_physical,0.9792288125322263,32506
train,25.0,V_corr_raw_ema200,forbidden_trajectory_progress,-0.9796124409185738,32506
train,25.0,V_corr_raw_dev_ema200,forbidden_cumulative_Ah,-0.12187750149969577,32506
train,25.0,V_corr_raw_dev_ema200,SOC_physical,0.12425344029069874,32506
train,25.0,V_corr_raw_dev_ema200,forbidden_trajectory_progress,-0.11826233046577164,32506
train,25.0,V_corr_raw_ema800,forbidden_cumulative_Ah,-0.9870175738719005,32506
train,25.0,V_corr_raw_ema800,SOC_physical,0.9859003653748635,32506
train,25.0,V_corr_raw_ema800,forbidden_trajectory_progress,-0.9865099300686253,32506
train,25.0,V_corr_raw_dev_ema800,forbidden_cumulative_Ah,-0.08743103525544027,32506
train,25.0,V_corr_raw_dev_ema800,SOC_physical,0.0886987362070553,32506
train,25.0,V_corr_raw_dev_ema800,forbidden_trajectory_progress,-0.08422133825844486,32506
train,25.0,I_raw_ema50,forbidden_cumulative_Ah,-0.012596918297765679,32506
train,25.0,I_raw_ema50,SOC_physical,0.013275764680865582,32506
train,25.0,I_raw_ema50,forbidden_trajectory_progress,-0.011919928170603734,32506
train,25.0,I_raw_dev_ema50,forbidden_cumulative_Ah,0.0030695233726731976,32506
train,25.0,I_raw_dev_ema50,SOC_physical,-0.0031815235862495085,32506
train,25.0,I_raw_dev_ema50,forbidden_trajectory_progress,0.003531054727261437,32506
train,25.0,I_raw_ema200,forbidden_cumulative_Ah,-0.1384672423643358,32506
train,25.0,I_raw_ema200,SOC_physical,0.14015432613817072,32506
train,25.0,I_raw_ema200,forbidden_trajectory_progress,-0.13812818118719888,32506
train,25.0,I_raw_dev_ema200,forbidden_cumulative_Ah,0.01741051373139733,32506
train,25.0,I_raw_dev_ema200,SOC_physical,-0.01751408832640322,32506
train,25.0,I_raw_dev_ema200,forbidden_trajectory_progress,0.018028082333511924,32506
train,25.0,absI_ema50,forbidden_cumulative_Ah,0.011510544083485102,32506
train,25.0,absI_ema50,SOC_physical,-0.0037377298546882273,32506
train,25.0,absI_ema50,forbidden_trajectory_progress,0.016638046239632092,32506
