temperature_C,condition,bin_key,n_samples,SOC_IQR_fraction,SOC_range_fraction
0.0,C_raw_plus_V_dev_from_past200_tertile,"(6, 4, 0)",59,0.03771295102589062,0.1339892704873707
0.0,C_raw_plus_V_dev_from_past200_tertile,"(6, 5, 0)",50,0.05578962319585257,0.1738164569205506
0.0,C_raw_plus_V_dev_from_past200_tertile,"(6, 7, 0)",52,0.0250859105826558,0.19536491442354773
0.0,C_raw_plus_V_dev_from_past200_tertile,"(7, 3, 0)",51,0.06845758715489925,0.14281589742739492
0.0,C_raw_plus_V_dev_from_past200_tertile,"(7, 4, 0)",60,0.05206965135253799,0.16591517207627976
0.0,C_raw_plus_V_dev_from_past200_tertile,"(7, 7, 0)",74,0.04600521645780814,0.1392679433344502
0.0,C_raw_plus_V_dev_from_past200_tertile,"(8, 7, 0)",77,0.04399428458575039,0.166640303207302
0.0,C_raw_plus_V_dev_from_past200_tertile,"(9, 7, 0)",56,0.05043689226900727,0.0928890447671123
0.0,C_raw_plus_V_dev_from_past200_tertile,"(9, 16, 1)",68,0.007140615929771665,0.030978700262029313
0.0,C_raw_plus_V_dev_from_past200_tertile,"(9, 28, 2)",50,0.011852926740709188,0.0177054031581797
0.0,C_raw_plus_V_dev_from_past200_tertile,"(10, 7, 0)",65,0.06649047388904877,0.17650568258013394
0.0,C_raw_plus_V_dev_from_past200_tertile,"(10, 9, 0)",52,0.05870816905348297,0.08930247547544412
0.0,C_raw_plus_V_dev_from_past200_tertile,"(10, 10, 0)",57,0.03555756539262461,0.10267146970309393
0.0,C_raw_plus_V_dev_from_past200_tertile,"(10, 17, 1)",53,0.004033080385563992,0.0803292212643267
0.0,C_raw_plus_V_dev_from_past200_tertile,"(11, 7, 0)",50,0.06499703810345092,0.13833331426772705
0.0,C_raw_plus_V_dev_from_past200_tertile,"(11, 16, 1)",54,0.005234810576187798,0.02372246114509191
0.0,C_raw_plus_V_dev_from_past200_tertile,"(12, 7, 0)",51,0.036081277837063386,0.0882460976338661
0.0,C_raw_plus_V_dev_from_past200_tertile,"(12, 23, 2)",55,0.0012992180093990835,0.050179831343849596
0.0,C_raw_plus_V_dev_from_past200_tertile,"(12, 27, 2)",72,0.003125842944091628,0.019304187934330613
0.0,C_raw_plus_V_dev_from_past200_tertile,"(12, 28, 2)",54,0.0028761715880553096,0.0193041156580471
0.0,C_raw_plus_V_dev_from_past200_tertile,"(13, 16, 1)",66,0.004348837930005511,0.02754163030402651
0.0,C_raw_plus_V_dev_from_past200_tertile,"(13, 17, 1)",50,0.005831417415947615,0.04110100592911009
0.0,C_raw_plus_V_dev_from_past200_tertile,"(13, 27, 2)",52,0.013866794605045585,0.024521654597093517
0.0,C_raw_plus_V_dev_from_past200_tertile,"(14, 27, 2)",56,0.01742667631438158,0.05670403659935569
0.0,C_raw_plus_V_dev_from_past200_tertile,"(15, 16, 1)",84,0.0068425643475665265,0.031210686405378607
0.0,C_raw_plus_V_dev_from_past200_tertile,"(15, 17, 1)",69,0.006880379059879205,0.05250678218753041
0.0,C_raw_plus_V_dev_from_past200_tertile,"(16, 27, 2)",70,0.02294421430945956,0.02504990929069789
0.0,C_raw_plus_V_dev_from_past200_tertile,"(17, 16, 1)",73,0.005985674668072483,0.030403486272123026
0.0,C_raw_plus_V_dev_from_past200_tertile,"(17, 17, 1)",71,0.007548610234995756,0.044525791576155216
0.0,C_raw_plus_V_dev_from_past200_tertile,"(17, 27, 2)",78,0.017008446903598456,0.0403698167098733
0.0,C_raw_plus_V_dev_from_past200_tertile,"(17, 28, 2)",52,0.016035445109139318,0.03580732052022981
0.0,C_raw_plus_V_dev_from_past200_tertile,"(18, 16, 1)",74,0.006545509354335177,0.030542601642880418
0.0,C_raw_plus_V_dev_from_past200_tertile,"(18, 17, 1)",71,0.006842740388146529,0.08139890910235442
0.0,C_raw_plus_V_dev_from_past200_tertile,"(18, 27, 2)",55,0.00873922848158426,0.0214090099802019
0.0,C_raw_plus_V_dev_from_past200_tertile,"(19, 22, 1)",51,0.0012127035639195038,0.037738593163191114
0.0,C_raw_plus_V_dev_from_past200_tertile,"(20, 16, 1)",71,0.02149334099104694,0.03383415074451146
0.0,C_raw_plus_V_dev_from_past200_tertile,"(20, 17, 1)",60,0.021178822373705553,0.03656579031633839
0.0,C_raw_plus_V_dev_from_past200_tertile,"(20, 27, 2)",86,0.006804538655369952,0.042370331626638336
0.0,C_raw_plus_V_dev_from_past200_tertile,"(20, 28, 2)",53,0.006804081481305402,0.04237037148488271
0.0,C_raw_plus_V_dev_from_past200_tertile,"(21, 27, 2)",73,0.010936124969044003,0.0661629665296179
0.0,C_raw_plus_V_dev_from_past200_tertile,"(22, 16, 0)",55,0.006316932020916877,0.011885911328988974
0.0,C_raw_plus_V_dev_from_past200_tertile,"(22, 27, 1)",86,0.005806780905246611,0.042610061918271325
0.0,C_raw_plus_V_dev_from_past200_tertile,"(22, 28, 2)",50,0.009788155047170233,0.03293313386966096
0.0,C_raw_plus_V_dev_from_past200_tertile,"(24, 27, 1)",54,0.01794950620785979,0.03161399825708616
0.0,C_raw_plus_V_dev_from_past200_tertile,"(24, 28, 2)",63,0.00712879915911252,0.023929670965259775
0.0,C_raw_plus_V_dev_from_past200_tertile,"(25, 27, 2)",76,0.00364009696403389,0.04077075795968982
0.0,C_raw_plus_V_dev_from_past200_tertile,"(25, 28, 2)",63,0.015777055751595492,0.040770771245771276
0.0,C_raw_plus_V_dev_from_past200_tertile,"(25, 33, 2)",56,0.06420712951937779,0.2040511409630112
0.0,C_raw_plus_V_dev_from_past200_tertile,"(26, 27, 2)",60,0.01093757341764956,0.029371089140262874
0.0,C_raw_plus_V_dev_from_past200_tertile,"(26, 31, 2)",54,0.014957702726899835,0.11170450728896941
0.0,C_raw_plus_V_dev_from_past200_tertile,"(26, 33, 2)",56,0.05499951086636379,0.2011725716358272
0.0,C_raw_plus_V_dev_from_past200_tertile,"(27, 22, 1)",59,0.0015578778214166977,0.003169696602292049
0.0,C_raw_plus_V_dev_from_past200_tertile,"(27, 23, 1)",81,0.0017979320706195123,0.05139670195437185
0.0,C_raw_plus_V_dev_from_past200_tertile,"(28, 33, 2)",57,0.07317852270615649,0.1604139059070785
0.0,C_raw_plus_V_dev_from_past200_tertile,"(29, 16, 1)",52,0.005044136307524538,0.011836432367142491
0.0,C_raw_plus_V_dev_from_past200_tertile,"(29, 27, 1)",53,0.01714924977628951,0.020868474121396918
0.0,C_raw_plus_V_dev_from_past200_tertile,"(29, 33, 2)",58,0.04932444848176171,0.17379426288017025
0.0,C_raw_plus_V_dev_from_past200_tertile,"(29, 34, 2)",53,0.18081675562063199,0.37015906219530226
0.0,C_raw_plus_V_dev_from_past200_tertile,"(30, 27, 2)",67,0.010472531027043819,0.02173307571307992
0.0,C_raw_plus_V_dev_from_past200_tertile,"(31, 27, 2)",58,0.0032518881554327583,0.01768670924601312
0.0,C_raw_plus_V_dev_from_past200_tertile,"(31, 34, 2)",58,0.199976996262272,0.37125555825019185
0.0,C_raw_plus_V_dev_from_past200_tertile,"(32, 16, 1)",62,0.0036242337782115275,0.01190447145340534
0.0,C_raw_plus_V_dev_from_past200_tertile,"(32, 27, 2)",79,0.01093931548865612,0.020179815293526082
0.0,C_raw_plus_V_dev_from_past200_tertile,"(32, 28, 2)",61,0.017685001187375038,0.020179750457448242
0.0,C_raw_plus_V_dev_from_past200_tertile,"(32, 34, 2)",59,0.1714915140923255,0.38194410572947257
0.0,C_raw_plus_V_dev_from_past200_tertile,"(33, 16, 2)",52,0.0031192425749239083,0.0074055629812783685
0.0,C_raw_plus_V_dev_from_past200_tertile,"(33, 34, 2)",65,0.2112560223731288,0.3769086579878075
0.0,C_raw_plus_V_dev_from_past200_tertile,"(34, 34, 2)",67,0.1983239082519419,0.34277713324815723
0.0,C_raw_plus_V_dev_from_past200_tertile,"(35, 27, 2)",61,0.00782723986758016,0.015745969732356868
0.0,C_raw_plus_V_dev_from_past200_tertile,"(35, 34, 2)",61,0.1634806215601982,0.2858946156814374
0.0,C_raw_plus_V_dev_from_past200_tertile,"(36, 16, 1)",85,0.0059960633209212855,0.013407326562607569
0.0,C_raw_plus_V_dev_from_past200_tertile,"(36, 17, 1)",56,0.005082927015384597,0.025822024423953205
0.0,C_raw_plus_V_dev_from_past200_tertile,"(36, 18, 1)",52,0.018957772521073446,0.05486222016313713
0.0,C_raw_plus_V_dev_from_past200_tertile,"(36, 25, 1)",54,0.0002227132556252842,0.01001183044100562
0.0,C_raw_plus_V_dev_from_past200_tertile,"(36, 27, 2)",51,0.0032521521498721784,0.016350413058666913
0.0,C_raw_plus_V_dev_from_past200_tertile,"(36, 34, 2)",57,0.13690379460831803,0.2557514602148934
0.0,C_raw_plus_V_dev_from_past200_tertile,"(37, 22, 1)",66,0.0013363385239532066,0.0027493101031286216
